timestamp,KET_b,GLN_e,GLU_e,GLU_a,GLN_i,GLU_i,GABA_i,GABA_v,GLN_a
2.3280022923645447,0.009912577701844793,0.28,10.010863418473072,0.8025758095337949,0.07,0.13061693381935985,0.7431500889745046,0.10000665295355934,3.8323004212629437
5.179572512606683,0.03985141703950323,0.28,10.00535380271122,0.8026093073824924,0.07,0.12968347735665536,0.7428870844441885,0.09998252055987614,3.838974355236782
10.850951381606137,0.11718479423221675,0.28,9.97069205276319,0.802905719564575,0.07,0.12523179329096823,0.7397577265642256,0.09979707747412933,3.880739075429039
16.257114187361367,0.18597282026293366,0.28,9.90904003351276,0.803536436336686,0.07,0.11956953366594039,0.7316630056528797,0.09948322484690354,3.95459607708033
23.072412575098497,0.2526303415149115,0.28,9.80318411473239,0.8047284389145366,0.07,0.11287549553486549,0.7138344160275529,0.0990313388295408,4.08070160516872
30.421922748109864,0.3003691594045302,0.28,9.670874342913288,0.8062640119665416,0.07,0.10721941386974505,0.6869669903553556,0.09858757749023793,4.237564136138565
38.590793844286964,0.33090221563626254,0.28,9.519579399095388,0.8079556186338602,0.07,0.1026294043809476,0.6511864166680629,0.09818872111599976,4.416329845387623
47.35223890575253,0.34526063655427747,0.28,9.366786208288861,0.8094992157992336,0.07,0.09902268273410567,0.6094190406343726,0.09785340598034133,4.596513215566945
56.98591403314276,0.34652314348915175,0.28,9.220419658623724,0.8107520486873591,0.07,0.09597582689338333,0.5626330454828172,0.09755678087696967,4.7689637036778265
67.12458142097785,0.3374195473479886,0.28,9.096255605972809,0.8115841716817188,0.07,0.093339545776265,0.5149169652199562,0.09729069935214688,4.915158291443117
77.83192277720445,0.3208259701393952,0.28,8.999468365009827,0.8120182276551146,0.07,0.09089343594116218,0.46804378167942495,0.0970346056334122,5.028868937246041
88.90236214333345,0.2995188537557658,0.28,8.934204375988198,0.8120971165336468,0.07,0.08857485319735171,0.4245605512519989,0.09678271338370906,5.104912247212971
100.25709671195546,0.2756725345317274,0.28,8.899568578569475,0.8118971922693572,0.07,0.08637168794298021,0.38584267860200205,0.09652867751807621,5.1439674417582015
111.62881659645609,0.2513466638835684,0.28,8.89228775038531,0.8114202980305888,0.07,0.0843667130313617,0.35319958425151493,0.09630251898782934,5.149653217126757
121.88040170262502,0.22986928432336537,0.28,8.904709608553901,0.8109724344775292,0.07,0.08277990711090298,0.328894446615521,0.09607153701649288,5.131237203565623
131.25997424234083,0.21099894021796337,0.28,8.928545600050198,0.810264567121209,0.07,0.08155462194854494,0.3106625444873742,0.09594558860532118,5.098844582064923
