x,y
0.068893673, 0.015038934479955952
4.965900409750677, 1.1642432028525733
9.995879343472927, 2.1682336593167455
14.947704701715397, 2.816040481371752
19.965460564391044,3.114931439
25.016552075375607, 3.3648514721690566
30.01467694515823, 3.9215752077816517
35.05761974211172, 3.823035578511313
40.029816885431856, 3.624351747463359
44.90941500567169, 4.016559607771165
49.88753848646897, 4.2912875907815735
55.04530407204204, 4.1058336173671375
59.88564020649582, 3.9384074880050335
64.94413964, 3.8700401143126815
70.02523323378938, 3.961013083034005
75.10447484779036, 3.8781259012611096
80.00666712966178, 4.129194305340709
85.19999074009769, 4.103993078314674
