time,concentration
0.0,0.0
0.1,0.026580537190698722
0.2,0.05303373213464366
0.3,0.07936008559839579
0.4,0.10556009647309669
0.5,0.13163426178140497
0.6,0.15758307668438884
0.7,0.18340703448840112
0.8,0.20910662665193253
0.9,0.23468234279243344
1.0,0.2601346706931117
1.1,0.28546409630971026
1.2,0.31067110377725066
1.3,0.3357561754167657
1.4,0.36071979174198826
1.5,0.3855624314660378
1.6,0.41028457150806186
1.7,0.43488668699986444
1.8,0.4593692512925141
1.9,0.48373273596290883
2.0,0.5079776108203422
2.1,0.532104343913022
2.2,0.556113401534581
2.3,0.5800052482305562
2.4,0.6037803468048476
2.5,0.6274391583261495
2.6,0.6509821421343636
2.7,0.6744097558469793
2.8,0.6977224553654445
2.9,0.7209206948815006
3.0,0.7440049268834945
3.1,0.766975602162682
3.2,0.7898331698194874
3.3,0.8125780772697552
3.4,0.835210770250973
3.5,0.8577316928284725
3.6,0.880141287401605
3.7,0.9024399947099021
3.8,0.9246282538392048
3.9,0.9467065022277678
4.0,0.9686751756723623
4.1,0.9905347083343247
4.2,1.012285532745609
4.3,1.0339280798148078
4.4,1.0554627788331457
4.5,1.0768900574804596
4.6,1.098210341831151
4.7,1.1194240563601197
4.8,1.1405316239486776
4.9,1.1615334658904304
5.0,1.1824300018971494
5.1,1.2032216501046227
5.2,1.22390882707847
5.3,1.244491947819947
5.4,1.2649714257717342
5.5,1.28534767282369
5.6,1.3056210993185915
5.7,1.3257921140578544
5.8,1.3458611243072303
5.9,1.3658285358024753
6.0,1.3856947527550205
6.1,1.4054601778575855
6.2,1.4251252122898115
6.3,1.4446902557238415
6.4,1.464155706329899
6.5,1.4835219607818388
6.6,1.5027894142626739
6.7,1.5219584604700953
6.8,1.5410294916219525
6.9,1.560002898461734
7.0,1.578879070264012
7.1,1.5976583948398708
7.2,1.6163412585423242
7.3,1.634928046271703
7.4,1.6534191414810222
7.5,1.671814926181337
7.6,1.6901157809470706
7.7,1.7083220849213305
7.8,1.7264342158211938
7.9,1.7444525499429877
8.0,1.7623774621675334
8.1,1.7802093259653897
8.2,1.7979485134020612
8.3,1.8155953951431996
8.4,1.8331503404597713
8.5,1.8506137172332247
8.6,1.8679858919606198
8.7,1.8852672297597568
8.8,1.9024580943742675
8.9,1.919558848178704
9.0,1.9365698521835977
9.1,1.9534914660405078
9.2,1.970324048047042
9.3,1.9870679551518706
9.4,2.0037235429597104
9.5,2.020291165736297
9.6,2.0367711764133394
9.7,2.0531639265934483
9.8,2.069469766555061
9.9,2.0856890452573333
10.0,2.1018221103450174
10.1,2.1178693081533324
10.2,2.133830983712799
10.3,2.149707480754075
10.4,2.1654991417127536
10.5,2.181206307734163
10.6,2.196829318678139
10.7,2.212368513123771
10.8,2.2278242283741547
10.9,2.2431968004611
11.0,2.2584865641498437
11.1,2.273693852943728
11.2,2.288818999088877
11.3,2.303862333578843
11.4,2.31882418615924
11.5,2.3337048853323674
11.6,2.348504758361805
11.7,2.3632241312769975
11.8,2.377863328877822
11.9,2.392422674739143
12.0,2.406902491215332
12.1,2.4213030994448004
12.2,2.435624819354486
12.3,2.449867969664346
12.4,2.4640328678918157
12.5,2.478119830356264
12.6,2.492129172183429
12.7,2.50606120730983
12.8,2.5199162484871738
12.9,2.5336946072867352
13.0,2.5473965941037298
13.1,2.5610225181616686
13.2,2.574572687516689
13.3,2.5880474090618817
13.4,2.6014469885315936
13.5,2.614771730505713
13.6,2.6280219384139536
13.7,2.6411979145401
13.8,2.6542999600262585
13.9,2.667328374877081
14.0,2.6802834579639714
14.1,2.693165507029292
14.2,2.7059748186905335
14.3,2.718711688444481
14.4,2.7313764106713676
14.5,2.743969278639007
14.6,2.756490584506909
14.7,2.7689406193303876
14.8,2.7813196730646466
14.9,2.7936280345688527
15.0,2.8058659916101996
15.1,2.818033830867944
15.2,2.830131837937438
15.3,2.8421602973341447
15.4,2.8541194924976336
15.5,2.866009705795567
15.6,2.8778312185276693
15.7,2.889584310929683
15.8,2.9012692621773084
15.9,2.9128863503901288
16.0,2.924435852635526
16.1,2.935918044932571
16.2,2.9473332022559124
16.3,2.9586815985396426
16.4,2.969963506681152
16.5,2.981179198544973
16.6,2.9923289449665984
16.7,3.0034130157563013
16.8,3.014431679702925
16.9,3.025385204577678
17.0,3.0362738571378904
17.1,3.047097903130781
17.2,3.057857607297197
17.3,3.068553233375335
17.4,3.0791850441044692
17.5,3.0897533012286402
17.6,3.10025826550035
17.7,3.11070019668423
17.8,3.1210793535607104
17.9,3.1313959939296585
18.0,3.141650374614013
18.1,3.1518427514634118
18.2,3.161973379357786
18.3,3.1720425122109708
18.4,3.182050402974268
18.5,3.191997303640022
18.6,3.2018834652451766
18.7,3.2117091378748057
18.8,3.2214745706656562
18.9,3.231180011809647
19.0,3.24082570855738
19.1,3.250411907221629
19.2,3.2599388531808127
19.3,3.2694067908824604
19.4,3.2788159638466605
19.5,3.288166614669503
19.6,3.2974589850264966
19.7,3.3066933156759917
19.8,3.3158698464625713
19.9,3.3249888163204466
20.0,3.3340504632768226
20.1,3.3430550244552717
20.2,3.3520027360790756
20.3,3.3608938334745657
20.4,3.3697285510744543
20.5,3.378507122421136
20.6,3.387229780170003
20.7,3.395896756092722
20.8,3.404508281080521
20.9,3.413064585147444
21.0,3.4215658974336174
21.1,3.430012446208479
21.2,3.4384044588740084
21.3,3.4467421619679524
21.4,3.4550257811670213
21.5,3.4632555412900876
21.6,3.4714316663013656
21.7,3.4795543793135817
21.8,3.487623902591133
21.9,3.4956404575532325
22.0,3.503604264777048
22.1,3.5115155440008214
22.2,3.5193745141269814
22.3,3.527181393225249
22.4,3.534936398535718
22.5,3.542639746471944
22.6,3.5502916526239967
22.7,3.5578923317615296
22.8,3.5654419978368144
22.9,3.5729408639877747
23.0,3.580389142541016
23.1,3.5877870450148217
23.2,3.5951347821221664
23.3,3.602432563773694
23.4,3.609680599080702
23.5,3.616879096358101
23.6,3.6240282631273795
23.7,3.6311283061195407
23.8,3.638179431278035
23.9,3.6451818437616916
24.0,3.652135747947621
24.1,3.659041347434124
24.2,3.6658988450435768
24.3,3.672708442825314
24.4,3.679470342058498
24.5,3.686184743254975
24.6,3.6928518461621302
24.7,3.6994718497657164
24.8,3.7060449522926877
24.9,3.712571351214014
25.0,3.719051243247491
25.1,3.7254848243605316
25.2,3.731872289772955
25.3,3.7382138339597613
25.4,3.7445096506538955
25.5,3.750759932849009
25.6,3.7569648728021967
25.7,3.7631246620367365
25.8,3.7692394913448135
25.9,3.7753095507902374
26.0,3.7813350297111405
26.1,3.787316116722681
26.2,3.793252999719722
26.3,3.7991458658795083
26.4,3.8049949016643336
26.5,3.810800292824194
26.6,3.8165622243994366
26.7,3.8222808807233903
26.8,3.8279564454249937
26.9,3.833589101431417
27.0,3.8391790309706604
27.1,3.8447264155741605
27.2,3.8502314360793695
27.3,3.8556942726323404
27.4,3.861115104690289
27.5,3.866494111024158
27.6,3.8718314697211684
27.7,3.8771273581873564
27.8,3.8823819531501003
27.9,3.8875954306606526
28.0,3.892767966096645
28.1,3.8978997341645956
28.2,3.902990908902398
28.3,3.908041663681811
28.4,3.9130521712109316
28.5,3.918022603536663
28.6,3.9229531320471698
28.7,3.9278439274743318
28.8,3.9326951598961726
28.9,3.937506998739304
29.0,3.942279612781334
29.1,3.947013170153291
29.2,3.9517078383420183
29.3,3.9563637841925745
29.4,3.9609811739106155
29.5,3.965560173064776
29.6,3.970100946589034
29.7,3.9746036587850715
29.8,3.9790684733246255
29.9,3.9834955532518324
30.0,3.9878850609855605
30.1,3.992237158321731
30.2,3.9965520064356412
30.3,4.000829765884267
30.4,4.005070596608565
30.5,4.009274657935768
30.6,4.013442108581654
30.7,4.017573106652835
30.8,4.0216678096490135
30.9,4.025726374465248
31.0,4.029748957394191
31.1,4.033735714128339
31.2,4.037686799762261
31.3,4.041602368794827
31.4,4.045482575131416
31.5,4.049327572086134
31.6,4.053137512384003
31.7,4.056912548163163
31.8,4.060652830977049
31.9,4.06435851179657
32.0,4.068029741012272
32.1,4.071666668436503
32.2,4.075269443305561
32.3,4.078838214281841
32.4,4.082373129455969
32.5,4.085874336348926
32.6,4.089341981914172
32.7,4.092776212539763
32.8,4.096177174050445
32.9,4.099545011709761
33.0,4.102879870222128
33.1,4.106181893734932
33.2,4.1094512258405915
33.3,4.112688009578627
