Ketone transport,Ketone utilization,PMAS in e,GLU synaptic flux,PMAS in i,GAD67,GAD65,GT,GABA synaptic flux,Anaplerosis,GDH,GS,GLN uptake in e,GLN uptake in i,GLN efflux,CMRglc,CMRglc(ox)N,VPMAS,timestamp
0.00047525787095731585,0.0016058375876988565,0.1903924673331909,0.19120749129283565,0.04775344027329294,0.0480635075000875,0.047930456183443264,0.04808642047901576,0.047933188760640996,0.06,0.04830859634813485,0.25082826844297673,0.1903924673331909,0.04775344027329294,0.011692992251260028,0.4088418438140272,0.27903455840307356,0.23814590760648385,2.3280022923645447
-2.6806125025118402e-5,0.006455929560399523,0.18789429852008926,0.1911022576317843,0.04720890740057973,0.047891554769279636,0.047905933888784204,0.04808346234352011,0.04792162210434863,0.06,0.048312602937517324,0.25068906164441623,0.18789429852008926,0.04720890740057973,0.011705410187984155,0.40526090365561157,0.27659056674495486,0.235103205920669,5.179572512606683
-0.001318629806831637,0.018983936665619115,0.18144141539607134,0.19044021820777693,0.04580235434204504,0.04705420442237999,0.0477843292361748,0.048048131732673596,0.047832739233350186,0.06,0.04834804853647534,0.24983972580126562,0.18144141539607134,0.04580235434204504,0.011782739264149217,0.3960111731349309,0.27027762566459035,0.22724376973811639,10.850951381606137
-0.0024616505084042156,0.030127596882595253,0.17570157694052352,0.1892626646400937,0.04455122563260099,0.045945985914740625,0.04761758233281625,0.04795558672817498,0.04768230966912087,0.06,0.04842342615315086,0.24837533934896028,0.17570157694052352,0.04455122563260099,0.011917900173324385,0.38778353938956733,0.2646622656333797,0.22025280257312452,16.257114187361367
-0.0035638712911610455,0.04092611532541566,0.1701395129315527,0.18724081659138864,0.04333884691858633,0.044569173180501756,0.04740062731178499,0.047745684169660574,0.0474657207009989,0.06,0.048565716192344704,0.2459431493921732,0.1701395129315527,0.04333884691858633,0.012144099979339944,0.37981073216014977,0.2592208246993022,0.21347835985013902,23.072412575098497
-0.0043500165280622154,0.04865980382353389,0.16615607106591657,0.1847136999496438,0.04247056490697648,0.04334527947090573,0.047197998804418335,0.04741259802169342,0.04725302589107104,0.06,0.04874869314401736,0.24300391696814055,0.16615607106591657,0.04247056490697648,0.012417692567648917,0.3741007629736957,0.2553237707295473,0.20862663597289305,30.421922748109864
-0.004851411472858034,0.053606158933074535,0.16360831936497308,0.1818239665227219,0.04191522431293862,0.0423083225713617,0.04701860313622252,0.046934596877139294,0.04706185403089869,0.06,0.04894983457760954,0.23974006319514848,0.16360831936497308,0.04191522431293862,0.01271944123584907,0.37044874941411043,0.25283127147513035,0.2055235436779117,38.590793844286964
-0.005086816965364112,0.055932223121792954,0.1624102181647822,0.17890561657831724,0.04165407082926707,0.041464343884338596,0.04686703996765089,0.04632010735365321,0.0469011374863776,0.06,0.049132980884190464,0.23651876898710203,0.1624102181647822,0.04165407082926707,0.013013280280199276,0.36873135998906076,0.25165915319253396,0.20406428899404927,47.35223890575253
-0.005107504099260205,0.05613674924524258,0.1623048715474516,0.1761100154797131,0.04163110813120407,0.04073038220773056,0.04673096509717145,0.04554699975588004,0.04675896507433156,0.06,0.049281347767310225,0.23348220611697212,0.1623048715474516,0.04163110813120407,0.01328529977879615,0.3685803534075303,0.25155609120063943,0.20393597967865568,56.98591403314276
-0.0049582928107510076,0.05466196667037416,0.16306449752060412,0.17373848207408063,0.041796685938107675,0.04007916470337468,0.046606751809059,0.04464751180116694,0.046631432199484,0.06,0.04937975203608478,0.23093010351312593,0.16306449752060412,0.041796685938107675,0.013509171814657961,0.3696692210366399,0.25229924335750675,0.2048611834587118,67.12458142097785
